pause,study,sampling.date,plot,site,depth.in,soilmass,cup.label,mL_water,start,end,ppm.approx,readtime,readdate,temp.C,sample.id
1,RTNC22,18-Jun,101,1,12,10.0378,101A,2,9:19,9:21,2852,9:20,20230331,30,RTNC22-1.101
2,RTNC22,18-Jun,101,1,12,10.04231,101B,2,9:21,9:23,2801,9:22,20230331,30,RTNC22-1.101
3,RTNC22,18-Jun,101,1,12,10.0545,101C,2,9:23,9:25,2476,9:24,20230331,30,RTNC22-1.101
4,RTNC22,18-Jun,211,1,12,10.0378,105A,2,9:25,9:27,,9:26,20230331,30,RTNC22-1.211
5,RTNC22,18-Jun,211,1,12,9.9873,105B,2,9:27,9:29,2500,9:28,20230331,30,RTNC22-1.211
6,RTNC22,18-Jun,211,1,12,10.0242,105C,2,9:29,9:31,2632,9:30,20230331,30,RTNC22-1.211
7,RTNC22,18-Jun,304,1,12,10.0534,109A,2,9:31,9:33,2819,9:32,20230331,30,RTNC22-1.304
8,RTNC22,18-Jun,304,1,12,9.9994,109B,2,9:33,9:35,3317,9:34,20230331,30,RTNC22-1.304
9,RTNC22,18-Jun,304,1,12,10.015,109C,2,9:35,9:37,3339,9:36,20230331,30,RTNC22-1.304
10,RTNC22,18-Jun,412,1,12,10.0023,113A,2,9:37,9:39,2887,9:38,20230331,30,RTNC22-1.412
11,RTNC22,18-Jun,412,1,12,9.9797,113B,2,9:39,9:41,3005,9:40,20230331,30,RTNC22-1.412
12,RTNC22,18-Jun,412,1,12,10.0173,113C,2,9:41,9:43,3005,9:42,20230331,30,RTNC22-1.412
13,RTNC22,18-Jun,101,2,12,9.9696,102A,1.886792453,9:43,9:45,3192,9:44,20230331,30,RTNC22-2.101
14,RTNC22,18-Jun,101,2,12,9.986,102B,1.886792453,9:45,9:47,3192,9:46,20230331,30,RTNC22-2.101
15,RTNC22,18-Jun,101,2,12,10.0339,102C,1.886792453,9:47,9:49,3102,9:48,20230331,30,RTNC22-2.101
16,RTNC22,18-Jun,211,2,12,9.9663,106A,1.886792453,9:49,9:51,3317,9:50,20230331,30,RTNC22-2.211
17,RTNC22,18-Jun,211,2,12,10.0135,106B,1.886792453,9:51,9:53,3444,9:52,20230331,30,RTNC22-2.211
18,RTNC22,18-Jun,211,2,12,10.0173,106C,1.886792453,9:53,9:55,2881,9:54,20230331,30,RTNC22-2.211
19,RTNC22,18-Jun,304,2,12,9.98878,110A,1.886792453,9:55,9:57,3005,9:56,20230331,30,RTNC22-2.304
20,RTNC22,18-Jun,304,2,12,10.0152,110B,1.886792453,9:57,9:59,2507,9:58,20230331,30,RTNC22-2.304
21,RTNC22,18-Jun,304,2,12,10.0369,110C,1.886792453,9:59,10:01,3317,10:00,20230331,30,RTNC22-2.304
22,RTNC22,18-Jun,412,2,12,10.0119,114A,1.886792453,10:01,10:03,3068,10:02,20230331,30,RTNC22-2.412
23,RTNC22,18-Jun,412,2,12,9.9555,114B,1.886792453,10:03,10:05,4000,10:04,20230331,30,RTNC22-2.412
24,RTNC22,18-Jun,412,2,12,9.9778,114C,1.886792453,10:05,10:07,3814,10:06,20230331,30,RTNC22-2.412
25,na,na,na,na,na,blank,blank,blank,10:07,10:09,516,10:08,20230331,30,na
26,na,na,na,na,na,blank,blank,blank,10:09,10:11,391,10:10,20230331,30,na
27,na,na,na,na,na,blank,blank,blank,10:11,10:13,640,10:12,20230331,30,na
28,RTNC22,18-Jun,101,3,12,9.9889,103A,1.981132075,10:13,10:15,4063,10:14,20230331,30,RTNC22-3.101
29,RTNC22,18-Jun,101,3,12,9.9918,103B,1.981132075,10:15,10:17,3988,10:16,20230331,30,RTNC22-3.101
30,RTNC22,18-Jun,101,3,12,10.0396,103C,1.981132075,10:17,10:19,3752,10:18,20230331,30,RTNC22-3.101
31,RTNC22,18-Jun,211,3,12,10.0048,107A,1.981132075,10:19,10:21,3317,10:20,20230331,30,RTNC22-3.211
32,RTNC22,18-Jun,211,3,12,9.9791,107B,1.981132075,10:21,10:23,3317,10:22,20230331,30,RTNC22-3.211
33,RTNC22,18-Jun,211,3,12,9.9955,107C,1.981132075,10:23,10:25,3317,10:24,20230331,30,RTNC22-3.211
34,RTNC22,18-Jun,304,3,12,9.9925,111A,1.981132075,10:25,10:27,3195,10:26,20230331,30,RTNC22-3.304
35,RTNC22,18-Jun,304,3,12,10.032,111B,1.981132075,10:27,10:29,2881,10:28,20230331,30,RTNC22-3.304
36,RTNC22,18-Jun,304,3,12,10.0049,111C,1.981132075,10:29,10:31,3247,10:30,20230331,30,RTNC22-3.304
37,RTNC22,18-Jun,412,3,12,10.0379,115A,1.981132075,10:31,10:33,2507,10:32,20230331,30,RTNC22-3.412
38,RTNC22,18-Jun,412,3,12,9.9819,115B,1.981132075,10:33,10:35,2374,10:34,20230331,30,RTNC22-3.412
39,RTNC22,18-Jun,412,3,12,10.0009,115C,1.981132075,10:35,10:37,2819,10:36,20230331,30,RTNC22-3.412
40,RTNC22,18-Jun,101,4,12,10.0044,104A,2.132075472,10:37,10:39,4250,10:38,20230331,30,RTNC22-4.101
41,RTNC22,18-Jun,101,4,12,9.9923,104B,2.132075472,10:39,10:41,3317,10:40,20230331,30,RTNC22-4.101
42,RTNC22,18-Jun,101,4,12,9.9938,104C,2.132075472,10:41,10:43,3441,10:42,20230331,30,RTNC22-4.101
43,RTNC22,18-Jun,211,4,12,10.0139,108A,2.132075472,10:43,10:45,2881,10:44,20230331,30,RTNC22-4.211
