"2023-03-31 at 9:19"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2023-03-31	9:19:01	2.98688e2	5.14935e1	9.61289e1	5.1449737e-2	1.2090699e1	8.0655975e-1	
2023-03-31	9:19:02	9.35364e2	5.14935e1	9.61402e1	1.1358873e-1	1.2077271e1	8.0165376e-1	
2023-03-31	9:19:02	3.01146e3	5.14935e1	9.60554e1	2.1544995e-1	1.2099931e1	7.9254608e-1	
2023-03-31	9:19:03	4.03336e3	5.14968e1	9.60082e1	2.4615075e-1	1.2105805e1	7.7994437e-1	
2023-03-31	9:19:03	3.75764e3	5.14968e1	9.61065e1	2.3859591e-1	1.2090699e1	7.6076602e-1	
2023-03-31	9:19:04	3.34064e3	5.14902e1	9.60772e1	2.2619614e-1	1.2082307e1	7.5834841e-1	
2023-03-31	9:19:04	3.08713e3	5.14902e1	9.60872e1	2.1800293e-1	1.2111680e1	7.7171230e-1	
2023-03-31	9:19:05	2.96127e3	5.14935e1	9.59895e1	2.1372847e-1	1.2110841e1	7.8266339e-1	
2023-03-31	9:19:05	2.87793e3	5.14935e1	9.59727e1	2.1081826e-1	1.2101609e1	7.8771591e-1	
2023-03-31	9:19:06	2.83071e3	5.14968e1	9.59525e1	2.0913848e-1	1.2094895e1	7.9121809e-1	
2023-03-31	9:19:06	2.80882e3	5.14968e1	9.59434e1	2.0835270e-1	1.2090699e1	7.8890399e-1	
2023-03-31	9:19:07	2.81505e3	5.14968e1	9.59432e1	2.0857686e-1	1.2095735e1	7.8139810e-1	
2023-03-31	9:19:07	2.82239e3	5.14935e1	9.59417e1	2.0884134e-1	1.2078111e1	7.6034646e-1	
2023-03-31	9:19:08	2.81514e3	5.14935e1	9.59342e1	2.0858101e-1	1.2117555e1	7.5184535e-1	
2023-03-31	9:19:08	2.81297e3	5.15001e1	9.59490e1	2.0850088e-1	1.2100770e1	7.4152250e-1	
2023-03-31	9:19:09	2.81487e3	5.14968e1	9.59325e1	2.0857050e-1	1.2091538e1	7.4504337e-1	
2023-03-31	9:19:09	2.81554e3	5.14968e1	9.59315e1	2.0859453e-1	1.2096574e1	7.3597297e-1	
2023-03-31	9:19:10	2.81897e3	5.14968e1	9.59357e1	2.0871775e-1	1.2086503e1	7.4233427e-1	
2023-03-31	9:19:10	2.81865e3	5.14935e1	9.59137e1	2.0870714e-1	1.2073915e1	7.5351762e-1	
2023-03-31	9:19:11	2.81556e3	5.14935e1	9.59002e1	2.0859632e-1	1.2100770e1	7.4393224e-1	
2023-03-31	9:19:11	2.81838e3	5.14968e1	9.59065e1	2.0869653e-1	1.2096574e1	7.4185066e-1	
2023-03-31	9:19:12	2.81919e3	5.14968e1	9.58820e1	2.0872566e-1	1.2110002e1	7.4469156e-1	
2023-03-31	9:19:12	2.81876e3	5.14968e1	9.58860e1	2.0871005e-1	1.2080628e1	7.3278908e-1	
2023-03-31	9:19:13	2.82004e3	5.14935e1	9.58907e1	2.0875701e-1	1.2083146e1	7.2236146e-1	
2023-03-31	9:19:13	2.81814e3	5.14968e1	9.58930e1	2.0868787e-1	1.2096574e1	7.1603717e-1	
2023-03-31	9:19:14	2.82198e3	5.15035e1	9.58920e1	2.0882372e-1	1.2093217e1	7.1054944e-1	
2023-03-31	9:19:14	2.82439e3	5.15035e1	9.58992e1	2.0891005e-1	1.2093217e1	7.1660785e-1	
2023-03-31	9:19:15	2.82178e3	5.14968e1	9.58877e1	2.0881836e-1	1.2102448e1	7.2060308e-1	
2023-03-31	9:19:15	2.82112e3	5.14935e1	9.58722e1	2.0879564e-1	1.2097413e1	7.2733259e-1	
2023-03-31	9:19:16	2.82167e3	5.14968e1	9.58602e1	2.0881459e-1	1.2104127e1	7.2718696e-1	
2023-03-31	9:19:16	2.82255e3	5.15001e1	9.58550e1	2.0884511e-1	1.2107484e1	7.2408180e-1	
2023-03-31	9:19:17	2.82344e3	5.15001e1	9.58559e1	2.0887684e-1	1.2094895e1	7.2216758e-1	
2023-03-31	9:19:17	2.82157e3	5.14968e1	9.58570e1	2.0881097e-1	1.2102448e1	7.2402620e-1	
2023-03-31	9:19:18	2.82087e3	5.14935e1	9.58507e1	2.0878679e-1	1.2090699e1	7.2359371e-1	
2023-03-31	9:19:18	2.81804e3	5.14968e1	9.58465e1	2.0868408e-1	1.2089021e1	7.2572011e-1	
2023-03-31	9:19:19	2.81279e3	5.14968e1	9.58405e1	2.0849564e-1	1.2099092e1	7.2726192e-1	
2023-03-31	9:19:19	2.81578e3	5.14935e1	9.58372e1	2.0860421e-1	1.2091538e1	7.2733397e-1	
2023-03-31	9:19:20	2.81828e3	5.14935e1	9.58332e1	2.0869379e-1	1.2095735e1	7.2572236e-1	
2023-03-31	9:19:20	2.81699e3	5.14935e1	9.58314e1	2.0864770e-1	1.2105805e1	7.2534565e-1	
2023-03-31	9:19:21	2.81522e3	5.14935e1	9.58312e1	2.0858392e-1	1.2096574e1	7.2526273e-1	
2023-03-31	9:19:21	2.81502e3	5.14935e1	9.58252e1	2.0857677e-1	1.2097413e1	7.2751092e-1	
2023-03-31	9:19:22	2.81169e3	5.14935e1	9.58227e1	2.0845701e-1	1.2094895e1	7.2873792e-1	
2023-03-31	9:19:22	2.81012e3	5.14968e1	9.58162e1	2.0839934e-1	1.2090699e1	7.2785568e-1	
2023-03-31	9:19:23	2.81084e3	5.14968e1	9.58192e1	2.0842528e-1	1.2094056e1	7.2723493e-1	
2023-03-31	9:19:23	2.81013e3	5.14968e1	9.58199e1	2.0839982e-1	1.2092378e1	7.2592821e-1	
2023-03-31	9:19:24	2.81363e3	5.14968e1	9.58157e1	2.0852570e-1	1.2094056e1	7.2637519e-1	
2023-03-31	9:19:24	2.81194e3	5.14968e1	9.58065e1	2.0846500e-1	1.2094056e1	7.2970571e-1	
2023-03-31	9:19:25	2.80998e3	5.15035e1	9.58062e1	2.0839228e-1	1.2099092e1	7.2994489e-1	
2023-03-31	9:19:25	2.81073e3	5.15002e1	9.58037e1	2.0842041e-1	1.2098252e1	7.2861933e-1	
2023-03-31	9:19:26	2.80825e3	5.14968e1	9.58027e1	2.0833227e-1	1.2089021e1	7.2742910e-1	
2023-03-31	9:19:26	2.80781e3	5.14968e1	9.58037e1	2.0831630e-1	1.2089021e1	7.2705469e-1	
2023-03-31	9:19:27	2.80889e3	5.14968e1	9.58030e1	2.0835523e-1	1.2087342e1	7.2771492e-1	
2023-03-31	9:19:27	2.80990e3	5.14935e1	9.57932e1	2.0839264e-1	1.2099092e1	7.3373646e-1	
2023-03-31	9:19:28	2.80974e3	5.14968e1	9.57864e1	2.0838577e-1	1.2114198e1	7.3175697e-1	
2023-03-31	9:19:28	2.80808e3	5.14968e1	9.57914e1	2.0832612e-1	1.2092378e1	7.2726860e-1	
2023-03-31	9:19:29	2.80484e3	5.14968e1	9.57914e1	2.0820930e-1	1.2093217e1	7.2639536e-1	
2023-03-31	9:19:29	2.80536e3	5.14968e1	9.57962e1	2.0822803e-1	1.2098252e1	7.2562294e-1	
2023-03-31	9:19:30	2.81074e3	5.14935e1	9.57954e1	2.0842294e-1	1.2086503e1	7.2826886e-1	
2023-03-31	9:19:30	2.80953e3	5.14902e1	9.57812e1	2.0838050e-1	1.2109162e1	7.3714008e-1	
2023-03-31	9:19:31	2.80509e3	5.14935e1	9.57774e1	2.0821943e-1	1.2101609e1	7.3062591e-1	
2023-03-31	9:19:31	2.80068e3	5.14968e1	9.57824e1	2.0805933e-1	1.2096574e1	7.2441577e-1	
