location,site,rep,plot,depth.in,sample.date,sample.id,study
Grand Meadow,1,1,101,12,18-Jun,RTNC23-1.101,RTNC23
Grand Meadow,1,2,208,12,18-Jun,RTNC23-1.208,RTNC23
Grand Meadow,1,3,304,12,18-Jun,RTNC23-1.304,RTNC23
Grand Meadow,1,4,407,12,18-Jun,RTNC23-1.407,RTNC23
Harmony,2,1,101,12,18-Jun,RTNC23-2.101,RTNC23
Harmony,2,2,208,12,18-Jun,RTNC23-2.208,RTNC23
Harmony,2,3,304,12,18-Jun,RTNC23-2.304,RTNC23
Harmony,2,4,407,12,18-Jun,RTNC23-2.407,RTNC23
Dover,3,1,101,12,18-Jun,RTNC23-3.101,RTNC23
Dover,3,2,208,12,18-Jun,RTNC23-3.208,RTNC23
Dover,3,3,304,12,18-Jun,RTNC23-3.304,RTNC23
Dover,3,4,407,12,18-Jun,RTNC23-3.407,RTNC23
Elgin,4,1,101,12,18-Jun,RTNC23-4.101,RTNC23
Elgin,4,2,208,12,18-Jun,RTNC23-4.208,RTNC23
Elgin,4,3,304,12,18-Jun,RTNC23-4.304,RTNC23
Elgin,4,4,407,12,18-Jun,RTNC23-4.407,RTNC23
