"2023-12-19 at 10:6"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2023-12-19	10:7:15	8.74799e2	5.14935e1	9.72107e1	1.0896133e-1	1.2072236e1	7.5527658e-1	
2023-12-19	10:7:16	2.46803e3	5.14935e1	9.73072e1	1.9546592e-1	1.2074754e1	7.5223293e-1	
2023-12-19	10:7:16	3.45090e3	5.14968e1	9.73394e1	2.2959647e-1	1.2063004e1	7.3811058e-1	
2023-12-19	10:7:17	3.20663e3	5.14935e1	9.72204e1	2.2193064e-1	1.2078111e1	7.3494615e-1	
2023-12-19	10:7:17	2.83690e3	5.14935e1	9.72267e1	2.0936088e-1	1.2079789e1	7.5324969e-1	
2023-12-19	10:7:18	2.55588e3	5.14902e1	9.72272e1	1.9891269e-1	1.2087342e1	7.6388502e-1	
2023-12-19	10:7:18	2.55588e3	5.14902e1	9.72272e1	1.9891269e-1	1.2087342e1	7.6388502e-1	
2023-12-19	10:7:19	2.47960e3	5.14902e1	9.72417e1	1.9592608e-1	1.2080628e1	7.5079245e-1	
2023-12-19	10:7:19	2.43474e3	5.14968e1	9.72720e1	1.9413484e-1	1.2085664e1	7.3377199e-1	
2023-12-19	10:7:20	2.43671e3	5.14968e1	9.72607e1	1.9421392e-1	1.2063844e1	7.5810432e-1	
2023-12-19	10:7:20	2.43869e3	5.14935e1	9.72440e1	1.9429450e-1	1.2059648e1	7.6963882e-1	
2023-12-19	10:7:21	2.43869e3	5.14935e1	9.72440e1	1.9429450e-1	1.2059648e1	7.6963882e-1	
2023-12-19	10:7:21	2.43503e3	5.14935e1	9.72357e1	1.9414748e-1	1.2078111e1	7.6758766e-1	
2023-12-19	10:7:22	2.43817e3	5.14935e1	9.72389e1	1.9427373e-1	1.2068040e1	7.5575642e-1	
2023-12-19	10:7:22	2.44334e3	5.14935e1	9.72487e1	1.9448079e-1	1.2085664e1	7.3939371e-1	
