,location,site,rep,plot,depth.in,sample.date,sample.id,study,mean.resp,sample.cv
1,Grand Meadow,1,1,101,12,18-Jun,RTNC23-1.101,RTNC23,121.8182864,9.195037534
2,Grand Meadow,1,2,208,12,18-Jun,RTNC23-1.208,RTNC23,90.48408293,18.35272542
3,Grand Meadow,1,3,304,12,18-Jun,RTNC23-1.304,RTNC23,83.77946331,1.747186695
4,Grand Meadow,1,4,407,12,18-Jun,RTNC23-1.407,RTNC23,94.26146909,6.611214772
5,Harmony,2,1,101,12,18-Jun,RTNC23-2.101,RTNC23,109.6460196,6.125348705
6,Harmony,2,2,208,12,18-Jun,RTNC23-2.208,RTNC23,138.2761465,3.155274632
7,Harmony,2,3,304,12,18-Jun,RTNC23-2.304,RTNC23,111.5238745,3.83846726
8,Harmony,2,4,407,12,18-Jun,RTNC23-2.407,RTNC23,81.01024825,0.270829944
9,Dover,3,1,101,12,18-Jun,RTNC23-3.101,RTNC23,46.83354794,25.2584082
10,Dover,3,2,208,12,18-Jun,RTNC23-3.208,RTNC23,86.03766912,13.49908671
11,Dover,3,3,304,12,18-Jun,RTNC23-3.304,RTNC23,76.08756528,0.946602973
12,Dover,3,4,407,12,18-Jun,RTNC23-3.407,RTNC23,97.43453367,0.972841193
13,Elgin,4,1,101,12,18-Jun,RTNC23-4.101,RTNC23,144.6880775,2.949771418
14,Elgin,4,2,208,12,18-Jun,RTNC23-4.208,RTNC23,144.9352226,8.571986464
15,Elgin,4,3,304,12,18-Jun,RTNC23-4.304,RTNC23,86.10110361,9.296211478
16,Elgin,4,4,407,12,18-Jun,RTNC23-4.407,RTNC23,105.7357492,3.79503967
