"","location","site","rep","plot","depth.in","sample.date","sample.id","study","mean.resp","sample.cv"
"1","Grand Meadow",1,1,101,12,"18-Jun","RTNC22-1.101","RTNC22",81.9483247394427,14.2886183734915
"2","Grand Meadow",1,2,211,12,"18-Jun","RTNC22-1.211","RTNC22",69.2814226832454,8.76427884155432
"3","Grand Meadow",1,3,304,12,"18-Jun","RTNC22-1.304","RTNC22",81.2793863045912,5.97564521894892
"4","Grand Meadow",1,4,412,12,"18-Jun","RTNC22-1.412","RTNC22",65.5707226460076,8.23724259451905
"5","Harmony",2,1,101,12,"18-Jun","RTNC22-2.101","RTNC22",69.4392001166704,9.25004448166043
"6","Harmony",2,2,211,12,"18-Jun","RTNC22-2.211","RTNC22",100.793818050351,4.06393842117497
"7","Harmony",2,3,304,12,"18-Jun","RTNC22-2.304","RTNC22",76.0393425487474,8.703567689423
"8","Harmony",2,4,412,12,"18-Jun","RTNC22-2.412","RTNC22",57.9474422447061,13.8432852013519
"9","Dover",3,1,101,12,"18-Jun","RTNC22-3.101","RTNC22",69.5660716441951,15.5763852192034
"10","Dover",3,2,211,12,"18-Jun","RTNC22-3.211","RTNC22",57.3247258363917,21.8651638833997
"11","Dover",3,3,304,12,"18-Jun","RTNC22-3.304","RTNC22",65.4594445555135,15.8141534653636
"12","Dover",3,4,412,12,"18-Jun","RTNC22-3.412","RTNC22",88.3102140069935,12.95943992301
"13","Elgin",4,1,101,12,"18-Jun","RTNC22-4.101","RTNC22",91.1357046547134,23.3837784971288
"14","Elgin",4,2,211,12,"18-Jun","RTNC22-4.211","RTNC22",95.3044977789607,16.0176090133964
"15","Elgin",4,3,304,12,"18-Jun","RTNC22-4.304","RTNC22",88.4954432022388,4.58691404829006
"16","Elgin",4,4,412,12,"18-Jun","RTNC22-4.412","RTNC22",104.366911691371,8.93834704829213
