pause,Site,plot,Depth.in,soilmass,cup_label,Sample ID,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES
1,RTNC23,101,12,10.0037,200A,RTNC22-1.101,1.41,9:47,9:49,,9:48,20240202,29,29,
2,RTNC23,101,12,10.0265,200B,RTNC22-1.101,1.41,9:49,9:51,,9:50,20240202,29,29,
3,RTNC23,101,12,10.0111,200C,RTNC22-1.101,1.41,9:51,9:53,,9:52,20240202,29,29,
4,RTNC23,211,12,10.008,201A,RTNC22-1.211,1.41,9:53,9:55,,9:54,20240202,29,29,
5,RTNC23,211,12,10.0144,201B,RTNC22-1.211,1.41,9:55,9:57,,9:56,20240202,29,29,
6,RTNC23,211,12,10.0181,201C,RTNC22-1.211,1.41,9:57,9:59,,9:58,20240202,29,29,
7,RTNC23,304,12,10.0018,202A,RTNC22-1.304,1.41,9:59,10:01,1937.5,10:00,20240202,29,29,
8,RTNC23,304,12,10.0355,202B,RTNC22-1.304,1.41,10:01,10:03,2327,10:02,20240202,29,29,
9,RTNC23,304,12,9.9988,202C,RTNC22-1.304,1.41,10:03,10:05,1621,10:04,20240202,29,29,
10,RTNC23,412,12,10.0051,203A,RTNC22-1.412,1.41,10:05,10:07,2181,10:06,20240202,29,29,
11,RTNC23,412,12,9.9928,203B,RTNC22-1.412,1.41,10:07,10:09,1780.5,10:10,20240202,29,29,"accidently read the wrong jar, delete that reading (10:07)"
12,RTNC23,412,12,9.9958,203C,RTNC22-1.412,1.41,10:09,10:11,2425.5,10:12,20240202,29,29,
13,RTNC23,101,12,9.9821,204A,RTNC22-4.101,1.41,10:11,10:13,2232,10:14,20240202,29,29,
14,RTNC23,101,12,9.9958,204B,RTNC22-4.101,1.41,10:13,10:15,1587,10:14,20240202,29,29,
15,RTNC23,101,12,10.0355,204C,RTNC22-4.101,1.41,10:15,10:17,1931,10:16,20240202,29,29,
16,RTNC23,211,12,10.0154,205A,RTNC22-4.211,1.41,10:17,10:19,2146,10:18,20240202,29,29,did I hit resume?
17,RTNC23,211,12,10.0197,205B,RTNC22-4.211,1.41,10:19,10:21,1888,10:20,20240202,29,29,
18,RTNC23,211,12,10.0039,205C,RTNC22-4.211,1.41,10:21,10:23,2318,10:22,20240202,29,29,
19,RTNC23,304,12,9.9995,206A,RTNC22-4.304,1.41,10:23,10:25,2361,10:24,20240202,29,29,
20,RTNC23,304,12,10.0305,206B,RTNC22-4.304,1.41,10:25,10:27,2017,10:26,20240202,29,29,
21,RTNC23,304,12,9.9978,206C,RTNC22-4.304,1.41,10:27,10:29,1716,10:28,20240202,29,29,
22,RTNC23,412,12,10.0092,207A,RTNC22-4.412,1.41,10:29,10:31,2490,10:30,20240202,29,29,
23,RTNC23,412,12,9.9899,207B,RTNC22-4.412,1.41,10:31,10:33,2791,10:32,20240202,29,29,
24,RTNC23,412,12,10.0013,207C,RTNC22-4.412,1.41,10:33,10:35,1243,10:34,20240202,29,29,
25,blank,blank,blank,blank,blank,blank,blank,10:35,10:37,728,10:36,20240202,29,29,
26,blank,blank,blank,blank,blank,blank,blank,10:37,10:39,728,10:38,20240202,29,29,
27,blank,blank,blank,blank,blank,blank,blank,10:39,10:41,427,10:40,20240202,29,29,
28,RTNC23,101,12,9.9962,208A,RTNC22-2.101,1.43,10:41,10:43,4295,10:42,20240202,29,29,
29,RTNC23,101,12,9.995,208B,RTNC22-2.101,1.43,10:43,10:45,2662,10:44,20240202,29,29,
30,RTNC23,101,12,10.0086,208C,RTNC22-2.101,1.43,10:45,10:47,1587,10:46,20240202,29,29,
31,RTNC23,211,12,10.0277,209A,RTNC22-2.211,1.43,10:47,10:49,1673,10:48,20240202,29,29,
32,RTNC23,211,12,9.9755,209B,RTNC22-2.211,1.43,10:49,10:51,2017,10:50,20240202,29,29,
33,RTNC23,211,12,10.0043,209C,RTNC22-2.211,1.43,10:51,10:53,1587,10:52,20240202,29,29,
34,RTNC23,304,12,10.0055,210A,RTNC22-2.304,1.43,10:53,10:55,1587,10:54,20240202,29,29,
35,RTNC23,304,12,10.016,210B,RTNC22-2.304,1.43,10:55,10:57,1931,10:56,20240202,29,29,hit pause late!!
36,RTNC23,304,12,10.0032,210C,RTNC22-2.304,1.43,10:57,10:59,1759,10:58,20240202,29,29,
37,RTNC23,412,12,10.0059,211A,RTNC22-2.412,1.43,10:59,11:01,2447,11:00,20240202,29,29,
38,RTNC23,412,12,10.0165,211B,RTNC22-2.412,1.43,11:01,11:03,2232,11:02,20240202,29,29,
39,RTNC23,412,12,10.0195,211C,RTNC22-2.412,1.43,11:03,11:05,1845,11:04,20240202,29,29,
40,blank,blank,blank,blank,blank,blank,blank,11:05,11:07,427,11:06,20240202,29,29,
41,blank,blank,blank,blank,blank,blank,blank,11:07,11:09,384,11:08,20240202,29,29,
42,RTNC23,101,12,10.0353,212A,RTNC22-3.101,1.55,11:09,11:11,2404,11:10,20240202,29,29,
43,RTNC23,101,12,9.9876,212B,RTNC22-3.101,1.55,11:11,11:13,2533,11:12,20240202,29,29,
44,RTNC23,101,12,9.9958,212C,RTNC22-3.101,1.55,11:13,11:15,2189,11:14,20240202,29,29,
45,RTNC23,211,12,10.0235,213A,RTNC22-3.211,1.55,11:15,11:17,2619,11:16,20240202,29,29,
46,RTNC23,211,12,9.9828,213B,RTNC22-3.211,1.55,11:17,11:19,2146,11:18,20240202,29,29,
47,RTNC23,211,12,9.9937,213C,RTNC22-3.211,1.55,11:19,11:21,2834,11:20,20240202,29,29,
48,RTNC23,304,12,9.9921,214A,RTNC22-3.304,1.55,11:21,11:23,2275,11:22,20240202,29,29,
49,RTNC23,304,12,10.0163,214B,RTNC22-3.304,1.55,11:23,11:25,1544,11:24,20240202,29,29,
50,RTNC23,304,12,10.0179,214C,RTNC22-3.304,1.55,11:25,11:27,1888,11:26,20240202,29,29,
51,RTNC23,412,12,9.9884,215A,RTNC22-3.412,1.55,11:27,11:29,2189,11:28,20240202,29,29,
52,RTNC23,412,12,9.9998,215B,RTNC22-3.412,1.55,11:29,11:31,2619,11:30,20240202,29,29,
53,RTNC23,412,12,10.019,215C,RTNC22-3.412,1.55,11:31,11:33,2791,11:32,20240202,29,29,
54,blank,blank,blank,blank,blank,blank,blank,11:33,11:35,685,11:34,20240202,29,29,
55,blank,blank,blank,blank,blank,blank,blank,11:35,11:37,558,11:36,20240202,29,29,
