"2024-02-02 at 9:47"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2024-02-02	9:47:19	2.24316e3	5.14968e1	9.69032e1	1.8620939e-1	1.2052934e1	7.5272684e-1	
2024-02-02	9:47:20	2.18652e3	5.15001e1	9.70127e1	1.8377111e-1	1.2063844e1	7.3888797e-1	
2024-02-02	9:47:20	2.16520e3	5.15001e1	9.70877e1	1.8284192e-1	1.2072236e1	7.5152063e-1	
2024-02-02	9:47:20	2.16498e3	5.14968e1	9.71557e1	1.8283329e-1	1.2047898e1	7.5649952e-1	
2024-02-02	9:47:21	2.17397e3	5.14935e1	9.72152e1	1.8322706e-1	1.2061326e1	7.4914312e-1	
2024-02-02	9:47:21	2.19293e3	5.14935e1	9.72665e1	1.8405139e-1	1.2057969e1	7.4400191e-1	
2024-02-02	9:47:22	2.20790e3	5.14935e1	9.73040e1	1.8469835e-1	1.2053773e1	7.4891567e-1	
2024-02-02	9:47:22	2.21807e3	5.14935e1	9.73392e1	1.8513618e-1	1.2052094e1	7.6882829e-1	
2024-02-02	9:47:23	2.22614e3	5.14935e1	9.73589e1	1.8548269e-1	1.2026916e1	7.8213157e-1	
2024-02-02	9:47:23	2.23061e3	5.14935e1	9.73747e1	1.8567441e-1	1.2058808e1	7.7942819e-1	
2024-02-02	9:47:24	2.23614e3	5.15001e1	9.74049e1	1.8590881e-1	1.2042024e1	7.6732177e-1	
2024-02-02	9:47:24	2.24550e3	5.14968e1	9.74374e1	1.8630905e-1	1.2044541e1	7.6147933e-1	
2024-02-02	9:47:25	2.25737e3	5.14935e1	9.74534e1	1.8681491e-1	1.2046220e1	7.5894355e-1	
2024-02-02	9:47:25	2.26263e3	5.14935e1	9.74810e1	1.8703804e-1	1.2063004e1	7.5574531e-1	
2024-02-02	9:47:26	2.26124e3	5.14902e1	9.74907e1	1.8698000e-1	1.2055451e1	7.7354993e-1	
2024-02-02	9:47:26	2.26065e3	5.14935e1	9.74944e1	1.8695406e-1	1.2031953e1	7.7949752e-1	
2024-02-02	9:47:27	2.26096e3	5.14935e1	9.75007e1	1.8696695e-1	1.2049577e1	7.8156280e-1	
2024-02-02	9:47:27	2.26433e3	5.14935e1	9.75150e1	1.8711009e-1	1.2058808e1	7.7242608e-1	
2024-02-02	9:47:28	2.26784e3	5.14968e1	9.75360e1	1.8725743e-1	1.2057130e1	7.5182743e-1	
2024-02-02	9:47:28	2.27161e3	5.14968e1	9.75702e1	1.8741691e-1	1.2069718e1	7.4622497e-1	
2024-02-02	9:47:29	2.27495e3	5.14935e1	9.75652e1	1.8755887e-1	1.2066361e1	7.6767044e-1	
2024-02-02	9:47:29	2.27382e3	5.14968e1	9.75605e1	1.8751025e-1	1.2050416e1	7.7485036e-1	
2024-02-02	9:47:30	2.27151e3	5.14935e1	9.75589e1	1.8741348e-1	1.2032792e1	7.8050956e-1	
2024-02-02	9:47:30	2.27250e3	5.14968e1	9.75627e1	1.8745445e-1	1.2047898e1	7.8145647e-1	
2024-02-02	9:47:31	2.27404e3	5.14935e1	9.75662e1	1.8752060e-1	1.2052094e1	7.7059655e-1	
2024-02-02	9:47:31	2.27404e3	5.14935e1	9.75899e1	1.8752052e-1	1.2058808e1	7.4857034e-1	
2024-02-02	9:47:32	2.27800e3	5.14968e1	9.76045e1	1.8768661e-1	1.2060487e1	7.4999518e-1	
2024-02-02	9:47:32	2.27729e3	5.14968e1	9.76179e1	1.8765645e-1	1.2049577e1	7.5003433e-1	
2024-02-02	9:47:33	2.27752e3	5.14935e1	9.76252e1	1.8766722e-1	1.2037827e1	7.4811592e-1	
2024-02-02	9:47:33	2.27832e3	5.14968e1	9.76132e1	1.8769989e-1	1.2058808e1	7.5834474e-1	
2024-02-02	9:47:34	2.27606e3	5.14968e1	9.76115e1	1.8760485e-1	1.2052934e1	7.7451572e-1	
2024-02-02	9:47:34	2.27334e3	5.14968e1	9.75977e1	1.8748977e-1	1.2043702e1	7.8379173e-1	
2024-02-02	9:47:35	2.27348e3	5.14968e1	9.75917e1	1.8749570e-1	1.2042024e1	7.8568620e-1	
2024-02-02	9:47:35	2.27775e3	5.14968e1	9.75942e1	1.8767593e-1	1.2060487e1	7.8445868e-1	
2024-02-02	9:47:36	2.27755e3	5.14968e1	9.75959e1	1.8766774e-1	1.2047059e1	7.7550215e-1	
2024-02-02	9:47:36	2.27832e3	5.14968e1	9.76014e1	1.8769990e-1	1.2057130e1	7.7194004e-1	
2024-02-02	9:47:37	2.27682e3	5.14968e1	9.76029e1	1.8763674e-1	1.2065522e1	7.6823325e-1	
2024-02-02	9:47:37	2.27526e3	5.14935e1	9.76149e1	1.8757207e-1	1.2056291e1	7.6632890e-1	
2024-02-02	9:47:38	2.27672e3	5.14968e1	9.76074e1	1.8763236e-1	1.2063004e1	7.8072018e-1	
2024-02-02	9:47:38	2.27714e3	5.14968e1	9.76027e1	1.8765030e-1	1.2059648e1	7.8374986e-1	
2024-02-02	9:47:39	2.27602e3	5.14902e1	9.75985e1	1.8760498e-1	1.2037827e1	7.8743834e-1	
2024-02-02	9:47:39	2.27313e3	5.14902e1	9.75950e1	1.8748302e-1	1.2045381e1	7.9010300e-1	
