pause,Site,plot,Depth.in,soilmass,cup_label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,time,ppm,line,ppm.corr,days,ugC.L,ugC.g.day
1,RTNC23,101,12,10.0037,200A,RTNC22-1.101,1.41,2/5/24 9:47,2/5/24 9:49,NA,9:48,20240202,29,29,9:48:01,2259.985,86,1692.677262,1.000023148,830.2323754,77.3472478
2,RTNC23,101,12,10.0265,200B,RTNC22-1.101,1.41,2/5/24 9:49,2/5/24 9:51,NA,9:50,20240202,29,29,9:50:01,1953.168333,249,1385.860595,1.000023148,679.7434808,63.18319051
3,RTNC23,101,12,10.0111,200C,RTNC22-1.101,1.41,2/5/24 9:51,2/5/24 9:53,NA,9:52,20240202,29,29,9:52:00,2153.538333,402,1586.230595,1.000023148,778.0219092,72.42956665
5,RTNC23,211,12,10.0144,201B,RTNC22-1.211,1.41,2/5/24 9:55,2/5/24 9:57,NA,9:56,20240202,29,29,9:56:00,2198.646667,710,1631.338929,1.000023148,800.1468586,74.46473181
6,RTNC23,211,12,10.0181,201C,RTNC22-1.211,1.41,2/5/24 9:57,2/5/24 9:59,NA,9:58,20240202,29,29,9:58:01,2423.643333,869,1856.335595,1.000023148,910.5042913,84.70372193
7,RTNC23,304,12,10.0018,202A,RTNC22-1.304,1.41,2/5/24 9:59,2/5/24 10:01,1937.5,10:00,20240202,29,29,10:00:45,1974.041667,1128,1406.733929,1.000023148,689.9815324,64.29321751
8,RTNC23,304,12,10.0355,202B,RTNC22-1.304,1.41,2/5/24 10:01,2/5/24 10:03,2327,10:02,20240202,29,29,10:02:42,2285.998333,1309,1718.690595,1.000023148,842.9915186,78.28707179
10,RTNC23,412,12,10.0051,203A,RTNC22-1.412,1.41,2/5/24 10:05,2/5/24 10:07,2181,10:06,20240202,29,29,10:06:50,2081.131667,1693,1513.823929,1.000023148,742.5075438,69.16482716
11,RTNC23,412,12,9.9928,203B,RTNC22-1.412,1.41,2/5/24 10:07,2/5/24 10:09,1780.5,10:10,20240202,29,29,10:10:41,1762.233333,1876,1194.925595,1.000023148,586.092776,54.66193891
12,RTNC23,412,12,9.9958,203C,RTNC22-1.412,1.41,2/5/24 10:09,2/5/24 10:11,2425.5,10:12,20240202,29,29,10:12:52,2392.425,2089,1825.117262,1.000023148,895.192175,83.46503478
14,RTNC23,101,12,9.9958,204B,RTNC22-4.101,1.41,2/5/24 10:13,2/5/24 10:15,1587,10:14,20240202,29,29,10:15:35,1725.673333,2292,1158.365595,1.000023148,568.1606538,52.97359611
15,RTNC23,101,12,10.0355,204C,RTNC22-4.101,1.41,2/5/24 10:15,2/5/24 10:17,1931,10:16,20240202,29,29,10:17:14,2007.673333,2315,1440.365595,1.000023148,706.4773519,65.60925223
16,RTNC23,211,12,10.0154,205A,RTNC22-4.211,1.41,2/5/24 10:17,2/5/24 10:19,2146,10:18,20240202,29,29,10:18:50,2044.421667,2416,1477.113929,1.000023148,724.5018488,67.41818529
17,RTNC23,211,12,10.0197,205B,RTNC22-4.211,1.41,2/5/24 10:19,2/5/24 10:21,1888,10:20,20240202,29,29,10:20:14,1765.951667,2484,1198.643929,1.000023148,587.9165618,54.68482611
18,RTNC23,211,12,10.0039,205C,RTNC22-4.211,1.41,2/5/24 10:21,2/5/24 10:23,2318,10:22,20240202,29,29,10:22:00,2178.426667,2617,1611.118929,1.000023148,790.2292571,73.61895056
19,RTNC23,304,12,9.9995,206A,RTNC22-4.304,1.41,2/5/24 10:23,2/5/24 10:25,2361,10:24,20240202,29,29,10:23:56,2209.973333,2765,1642.665595,1.000023148,805.7024158,75.09348164
20,RTNC23,304,12,10.0305,206B,RTNC22-4.304,1.41,2/5/24 10:25,2/5/24 10:27,2017,10:26,20240202,29,29,10:26:00,1876.085,2923,1308.777262,1.000023148,641.9352817,59.64506592
21,RTNC23,304,12,9.9978,206C,RTNC22-4.304,1.41,2/5/24 10:27,2/5/24 10:29,1716,10:28,20240202,29,29,10:28:00,1820.97,3071,1253.662262,1.000023148,614.902215,57.32017031
22,RTNC23,412,12,10.0092,207A,RTNC22-4.412,1.41,2/5/24 10:29,2/5/24 10:31,2490,10:30,20240202,29,29,10:30:02,2333.471667,3214,1766.163929,1.000023148,866.2764644,80.66088959
23,RTNC23,412,12,9.9899,207B,RTNC22-4.412,1.41,2/5/24 10:31,2/5/24 10:33,2791,10:32,20240202,29,29,10:32:00,2655.685,3368,2088.377262,1.000023148,1024.317189,95.56066848
25,blank,blank,blank,NA,blank,blank,blank,2/5/24 10:35,2/5/24 10:37,728,10:36,20240202,29,29,10:36:01,661.0218333,3681,93.71409524,1.000023148,45.96533412,NA
26,blank,blank,blank,NA,blank,blank,blank,2/5/24 10:37,2/5/24 10:39,728,10:38,20240202,29,29,10:38:02,608.7623333,3836,41.45459524,1.000023148,20.33284658,NA
27,blank,blank,blank,NA,blank,blank,blank,2/5/24 10:39,2/5/24 10:41,427,10:40,20240202,29,29,10:40:03,537.0608333,4011,-30.24690476,1.000023148,-14.83564537,NA
29,RTNC23,101,12,9.995,208B,RTNC22-2.101,1.43,2/5/24 10:43,2/5/24 10:45,2662,10:44,20240202,29,29,10:44:04,2540.655,4309,1973.347262,1.000023148,967.8967288,90.25101253
30,RTNC23,101,12,10.0086,208C,RTNC22-2.101,1.43,2/5/24 10:45,2/5/24 10:47,1587,10:46,20240202,29,29,10:46:04,1469.558333,4372,902.2505952,1.000023148,442.5401533,41.20834839
31,RTNC23,211,12,10.0277,209A,RTNC22-2.211,1.43,2/5/24 10:47,2/5/24 10:49,1673,10:48,20240202,29,29,10:48:03,1554.345,4526,987.0372619,1.000023148,484.1267198,44.9949299
32,RTNC23,211,12,9.9755,209B,RTNC22-2.211,1.43,2/5/24 10:49,2/5/24 10:51,2017,10:50,20240202,29,29,10:50:06,1855.245,4694,1287.937262,1.000023148,631.7135797,59.01893919
33,RTNC23,211,12,10.0043,209C,RTNC22-2.211,1.43,2/5/24 10:51,2/5/24 10:53,1587,10:52,20240202,29,29,10:51:59,1493.896667,4838,926.5889286,1.000023148,454.4777345,42.33813898
34,RTNC23,304,12,10.0055,210A,RTNC22-2.304,1.43,2/5/24 10:53,2/5/24 10:55,1587,10:54,20240202,29,29,10:53:40,1503.783333,4950,936.4755952,1.000023148,459.3269937,42.78475326
35,RTNC23,304,12,10.016,210B,RTNC22-2.304,1.43,2/5/24 10:55,2/5/24 10:57,1931,10:56,20240202,29,29,10:56:06,1799.18,5124,1231.872262,1.000023148,604.2145524,56.22153832
36,RTNC23,304,12,10.0032,210C,RTNC22-2.304,1.43,2/5/24 10:57,2/5/24 10:59,1759,10:58,20240202,29,29,10:58:03,1627.593333,5266,1060.285595,1.000023148,520.0539099,48.4523977
37,RTNC23,412,12,10.0059,211A,RTNC22-2.412,1.43,2/5/24 10:59,2/5/24 11:01,2447,11:00,20240202,29,29,11:00:08,2320.95,5443,1753.642262,1.000023148,860.1347779,80.11543757
38,RTNC23,412,12,10.0165,211B,RTNC22-2.412,1.43,2/5/24 11:01,2/5/24 11:03,2232,11:02,20240202,29,29,11:02:23,2083.388333,5636,1516.080595,1.000023148,743.6144044,69.18909624
39,RTNC23,412,12,10.0195,211C,RTNC22-2.412,1.43,2/5/24 11:03,2/5/24 11:05,1845,11:04,20240202,29,29,11:04:05,1968.503333,5770,1401.195595,1.000023148,687.2650644,63.92696375
40,blank,blank,blank,NA,blank,blank,blank,2/5/24 11:05,2/5/24 11:07,427,11:06,20240202,29,29,11:06:13,509.6146667,5950,-57.69307143,1.000023148,-28.29757144,NA
41,blank,blank,blank,NA,blank,blank,blank,2/5/24 11:07,2/5/24 11:09,384,11:08,20240202,29,29,11:08:02,526.7341667,6081,-40.57357143,1.000023148,-19.90071784,NA
42,RTNC23,101,12,10.0353,212A,RTNC22-3.101,1.55,2/5/24 11:09,2/5/24 11:11,2404,11:10,20240202,29,29,11:10:02,2286.966667,6221,1719.658929,1.000023148,843.4664713,78.33274089
43,RTNC23,101,12,9.9876,212B,RTNC22-3.101,1.55,2/5/24 11:11,2/5/24 11:13,2533,11:12,20240202,29,29,11:12:09,2412.09,6391,1844.782262,1.000023148,904.8375576,84.43360598
44,RTNC23,101,12,9.9958,212C,RTNC22-3.101,1.55,2/5/24 11:13,2/5/24 11:15,2189,11:14,20240202,29,29,11:14:00,2280.8,6531,1713.492262,1.000023148,840.4418154,78.36027537
45,RTNC23,211,12,10.0235,213A,RTNC22-3.211,1.55,2/5/24 11:15,2/5/24 11:17,2619,11:16,20240202,29,29,11:16:01,2511.81,6682,1944.502262,1.000023148,953.7486963,88.67892545
46,RTNC23,211,12,9.9828,213B,RTNC22-3.211,1.55,2/5/24 11:17,2/5/24 11:19,2146,11:18,20240202,29,29,11:18:02,2037.166667,6816,1469.858929,1.000023148,720.943382,67.30613442
47,RTNC23,211,12,9.9937,213C,RTNC22-3.211,1.55,2/5/24 11:19,2/5/24 11:21,2834,11:20,20240202,29,29,11:20:06,2679.671667,6993,2112.363929,1.000023148,1036.082283,96.62150514
