"2024-02-07 at 9:19"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2024-02-07	9:19:18	3.24347e3	5.14935e1	9.59547e1	2.2311737e-1	1.2073075e1	7.6720447e-1	
2024-02-07	9:19:18	3.25424e3	5.14935e1	9.60462e1	2.2346224e-1	1.2074754e1	7.7429971e-1	
2024-02-07	9:19:19	3.25037e3	5.14935e1	9.61102e1	2.2333831e-1	1.2078111e1	7.6741962e-1	
2024-02-07	9:19:19	3.23137e3	5.14935e1	9.61867e1	2.2272868e-1	1.2080628e1	7.4710073e-1	
2024-02-07	9:19:20	3.24468e3	5.14968e1	9.62872e1	2.2315492e-1	1.2086503e1	7.4643268e-1	
2024-02-07	9:19:20	3.28514e3	5.14968e1	9.64155e1	2.2444539e-1	1.2090699e1	7.4886007e-1	
2024-02-07	9:19:21	3.29402e3	5.14935e1	9.64124e1	2.2472784e-1	1.2078111e1	7.4071817e-1	
2024-02-07	9:19:21	3.28007e3	5.14935e1	9.64935e1	2.2428555e-1	1.2075593e1	7.3997583e-1	
2024-02-07	9:19:22	3.30829e3	5.14935e1	9.65694e1	2.2517874e-1	1.2107484e1	7.5203366e-1	
2024-02-07	9:19:22	3.33632e3	5.14968e1	9.66067e1	2.2605869e-1	1.2063844e1	7.4746131e-1	
2024-02-07	9:19:23	3.34021e3	5.14902e1	9.66565e1	2.2618250e-1	1.2084825e1	7.4076037e-1	
2024-02-07	9:19:23	3.34853e3	5.14902e1	9.66765e1	2.2644248e-1	1.2093217e1	7.6124076e-1	
2024-02-07	9:19:24	3.35855e3	5.15001e1	9.66857e1	2.2675192e-1	1.2089860e1	7.5817699e-1	
2024-02-07	9:19:24	3.36730e3	5.14968e1	9.67077e1	2.2702500e-1	1.2079789e1	7.4491214e-1	
2024-02-07	9:19:25	3.36938e3	5.14968e1	9.67234e1	2.2708990e-1	1.2095735e1	7.4196743e-1	
2024-02-07	9:19:25	3.37930e3	5.15001e1	9.67342e1	2.2739653e-1	1.2089860e1	7.5984740e-1	
2024-02-07	9:19:26	3.38882e3	5.14968e1	9.67385e1	2.2769222e-1	1.2067201e1	7.4778156e-1	
2024-02-07	9:19:26	3.38702e3	5.14968e1	9.67527e1	2.2763638e-1	1.2095735e1	7.3939132e-1	
2024-02-07	9:19:27	3.38614e3	5.15001e1	9.67647e1	2.2760810e-1	1.2081468e1	7.6087098e-1	
2024-02-07	9:19:27	3.38112e3	5.14935e1	9.67564e1	2.2745501e-1	1.2081468e1	7.5368585e-1	
2024-02-07	9:19:28	3.37891e3	5.14902e1	9.67665e1	2.2738771e-1	1.2091538e1	7.3909425e-1	
2024-02-07	9:19:28	3.38520e3	5.14935e1	9.67742e1	2.2758123e-1	1.2089021e1	7.4657220e-1	
2024-02-07	9:19:29	3.39275e3	5.15001e1	9.67932e1	2.2781250e-1	1.2087342e1	7.3606390e-1	
2024-02-07	9:19:29	3.39556e3	5.14935e1	9.67877e1	2.2790150e-1	1.2093217e1	7.3826751e-1	
2024-02-07	9:19:30	3.38835e3	5.14868e1	9.68112e1	2.2768092e-1	1.2081468e1	7.3318481e-1	
2024-02-07	9:19:30	3.38378e3	5.14935e1	9.67939e1	2.2753746e-1	1.2094056e1	7.4084987e-1	
2024-02-07	9:19:31	3.38474e3	5.14935e1	9.68155e1	2.2756714e-1	1.2080628e1	7.2988786e-1	
2024-02-07	9:19:31	3.38477e3	5.14968e1	9.68102e1	2.2756693e-1	1.2098252e1	7.3537945e-1	
2024-02-07	9:19:32	3.38344e3	5.15001e1	9.68210e1	2.2752480e-1	1.2084825e1	7.3808245e-1	
2024-02-07	9:19:32	3.38707e3	5.14968e1	9.67920e1	2.2763822e-1	1.2082307e1	7.6005101e-1	
2024-02-07	9:19:33	3.37961e3	5.14935e1	9.67797e1	2.2740819e-1	1.2079789e1	7.6402878e-1	
2024-02-07	9:19:33	3.37296e3	5.14935e1	9.67815e1	2.2720193e-1	1.2062165e1	7.5079703e-1	
2024-02-07	9:19:34	3.37669e3	5.14935e1	9.67902e1	2.2731785e-1	1.2092378e1	7.3875904e-1	
2024-02-07	9:19:34	3.38131e3	5.14935e1	9.67819e1	2.2746076e-1	1.2077271e1	7.6127805e-1	
2024-02-07	9:19:35	3.38008e3	5.14968e1	9.67827e1	2.2742156e-1	1.2094895e1	7.5441675e-1	
2024-02-07	9:19:35	3.37348e3	5.14968e1	9.67892e1	2.2721703e-1	1.2064683e1	7.4901142e-1	
2024-02-07	9:19:36	3.37483e3	5.14935e1	9.67759e1	2.2725999e-1	1.2088181e1	7.5649352e-1	
2024-02-07	9:19:36	3.37508e3	5.14968e1	9.67724e1	2.2726681e-1	1.2089860e1	7.6915416e-1	
2024-02-07	9:19:37	3.37023e3	5.15001e1	9.67607e1	2.2711529e-1	1.2084825e1	7.7953796e-1	
2024-02-07	9:19:37	3.36540e3	5.15001e1	9.67444e1	2.2696490e-1	1.2067201e1	7.9011116e-1	
2024-02-07	9:19:38	3.36647e3	5.14935e1	9.67294e1	2.2700047e-1	1.2077271e1	7.8831787e-1	
2024-02-07	9:19:38	3.36742e3	5.14935e1	9.67329e1	2.2702982e-1	1.2074754e1	7.7561969e-1	
2024-02-07	9:19:39	3.36630e3	5.14968e1	9.67412e1	2.2699413e-1	1.2054612e1	7.6842741e-1	
2024-02-07	9:19:39	3.36488e3	5.14968e1	9.67455e1	2.2694990e-1	1.2069718e1	7.7649030e-1	
2024-02-07	9:19:40	3.35955e3	5.14968e1	9.67382e1	2.2678396e-1	1.2072236e1	7.6974906e-1	
2024-02-07	9:19:40	3.36028e3	5.14968e1	9.67537e1	2.2680678e-1	1.2089021e1	7.5901131e-1	
2024-02-07	9:19:41	3.35948e3	5.14935e1	9.67605e1	2.2678289e-1	1.2081468e1	7.7295255e-1	
