"pause","Site","plot","Rep","depth.in","soilmass","cup_label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
1,"RTNC22","101","1","12",10.0139,"19a","RTNC22-1.101","2",2024-01-08 10:07:00,2024-01-08 10:09:00,2393,"10:08",20231229,26,28,"","10:08:49",2377.325,188,1855.63772916667,1.00002314814815,910.161998650456,84.7073914553142
2,"RTNC22","101","1","12",9.9997,"19b","RTNC22-1.101","2",2024-01-08 10:09:00,2024-01-08 10:11:00,2047.5,"10:10",20231229,26,28,"","10:10:44",2033.405,369,1511.71772916667,1.00002314814815,741.474485104136,69.1058955630541
3,"RTNC22","101","1","12",10.0157,"19c","RTNC22-1.101","2",2024-01-08 10:11:00,2024-01-08 10:13:00,2556,"10:12",20231229,26,28,"","10:12:45",2538.13666666667,563,2016.44939583333,1.00002314814815,989.037667989952,92.0316871999599
4,"RTNC22","211","1","12",9.9952,"20a","RTNC22-1.211","2",2024-01-08 10:13:00,2024-01-08 10:15:00,2189,"10:14",20231229,26,28,"","10:14:53",2189.45666666667,769,1667.76939583333,1.00002314814815,818.015447056797,76.2738863794215
5,"RTNC22","211","1","12",9.9604,"20b","RTNC22-1.211","2",2024-01-08 10:15:00,2024-01-08 10:17:00,2014.5,"10:16",20231229,26,28,"","10:16:51",1964.815,958,1443.12772916667,1.00002314814815,707.832136435428,66.2307016473594
6,"RTNC22","211","1","12",10.0088,"20c","RTNC22-1.211","2",2024-01-08 10:17:00,2024-01-08 10:19:00,1958,"10:18",20231229,26,28,"","10:18:47",1952.31833333333,1097,1430.6310625,1.00002314814815,701.702712070409,65.3396800229553
7,"RTNC22","304","1","12",10.009,"21a","RTNC22-1.304","2",2024-01-08 10:19:00,2024-01-08 10:21:00,2430,"10:20",20231229,26,28,"","10:20:58",2398.73333333333,1315,1877.0460625,1.00002314814815,920.662459569189,85.7266010928317
8,"RTNC22","304","1","12",9.9872,"21b","RTNC22-1.304","2",2024-01-08 10:21:00,2024-01-08 10:23:00,2312,"10:22",20231229,26,28,"","10:22:53",2313.55333333333,1502,1791.8660625,1.00002314814815,878.882968978716,82.01497581312
9,"RTNC22","304","1","12",10.028,"21c","RTNC22-1.304","2",2024-01-08 10:23:00,2024-01-08 10:25:00,2240.5,"10:24",20231229,26,28,"pause got messed up","10:25:47",2191.04,1606,1669.35272916667,1.00002314814815,818.792047903258,76.096582007822
10,"RTNC22","412","1","12",9.9764,"22a","RTNC22-1.412","2",2024-01-08 10:25:00,2024-01-08 10:27:00,2020,"10:26",20231229,26,28,"","10:27:00",2020.93666666667,1712,1499.24939583333,1.00002314814815,735.358957806896,68.695990974162
