,study,Location,plot,Site,Rep,depth.in,sample.id,mean.resp,sample.cv
1,RTNC25,GM,105,1,1,6,RTNC25-1.1.6,205.0972533,12.46893437
2,RTNC25,GM,205,1,2,6,RTNC25-1.2.6,144.5055696,15.93031632
3,RTNC25,GM,312,1,3,6,RTNC25-1.3.6,181.0888895,7.398348446
4,RTNC25,GM,409,1,4,6,RTNC25-1.4.6,193.700728,16.9285475
5,RTNC25,GM,105,1,1,12,RTNC25-1.1.12,84.30772911,9.102776088
6,RTNC25,GM,205,1,2,12,RTNC25-1.2.12,79.16944634,5.188467114
7,RTNC25,GM,312,1,3,12,RTNC25-1.3.12,76.14956355,11.91364269
8,RTNC25,GM,409,1,4,12,RTNC25-1.4.12,65.27032082,9.596021654
9,RTNC25,Harmony,105,2,1,6,RTNC25-2.1.6,146.8849241,4.605303228
10,RTNC25,Harmony,205,2,2,6,RTNC25-2.2.6,199.9161008,7.184363158
11,RTNC25,Harmony,312,2,3,6,RTNC25-2.3.6,216.1071505,8.069039888
12,RTNC25,Harmony,409,2,4,6,RTNC25-2.4.6,246.0288324,14.39765566
13,RTNC25,Harmony,105,2,1,12,RTNC25-2.1.12,130.760409,4.286468218
14,RTNC25,Harmony,205,2,2,12,RTNC25-2.2.12,107.7876168,9.599479666
15,RTNC25,Harmony,312,2,3,12,RTNC25-2.3.12,135.5692583,5.140538499
16,RTNC25,Harmony,409,2,4,12,RTNC25-2.4.12,122.555219,17.42553406
17,RTNC25,Dover,105,3,1,6,RTNC25-3.1.6,212.3192951,10.82848261
18,RTNC25,Dover,205,3,2,6,RTNC25-3.2.6,232.4020784,1.910508611
19,RTNC25,Dover,312,3,3,6,RTNC25-3.3.6,229.4854321,14.27596904
20,RTNC25,Dover,409,3,4,6,RTNC25-3.4.6,236.1770394,16.71478437
21,RTNC25,Dover,105,3,1,12,RTNC25-3.1.12,198.9471466,5.836321719
22,RTNC25,Dover,205,3,2,12,RTNC25-3.2.12,198.528068,9.372195693
23,RTNC25,Dover,312,3,3,12,RTNC25-3.3.12,212.045768,10.60779916
24,RTNC25,Dover,409,3,4,12,RTNC25-3.4.12,186.8002337,1.090269323
25,RTNC25,Elgin,105,4,1,6,RTNC25-4.1.6,174.0103076,4.782548353
26,RTNC25,Elgin,205,4,2,6,RTNC25-4.2.6,182.6768804,8.776142395
27,RTNC25,Elgin,312,4,3,6,RTNC25-4.3.6,179.3534641,10.02561359
28,RTNC25,Elgin,409,4,4,6,RTNC25-4.4.6,166.6616284,17.33651654
29,RTNC25,Elgin,105,4,1,12,RTNC25-4.1.12,161.5308836,13.88744899
30,RTNC25,Elgin,205,4,2,12,RTNC25-4.2.12,147.5840103,4.74036248
31,RTNC25,Elgin,312,4,3,12,RTNC25-4.3.12,152.8006523,4.97029205
32,RTNC25,Elgin,409,4,4,12,RTNC25-4.4.12,107.9842619,16.11850549
