"pause","study","Location","plot","Site","Rep","depth.in","soil.mass","Cup.Label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
1,"RTNC25","GM","105","1","1","6",10.0141,"001a","RTNC25-1.1.6","2.151",2025-12-02 09:00:00,2025-12-02 09:02:00,NA,"9:01",12022025,26,26,"","09:01:00",5268.97666666667,240,4570.54718518519,1.00002314814815,2241.78367124628,208.640055681642
2,"RTNC25","GM","105","1","1","6",9.9966,"001b","RTNC25-1.1.6","2.151",2025-12-02 09:02:00,2025-12-02 09:04:00,4434,"9:03",12022025,26,26,"","09:03:03",4589.575,399,3891.14551851852,1.00002314814815,1908.54751792799,177.937127294169
3,"RTNC25","GM","105","1","1","6",9.9783,"001c","RTNC25-1.1.6","2.151",2025-12-02 09:04:00,2025-12-02 09:06:00,5506,"9:05",12022025,26,26,"","09:05:02",5690.825,529,4992.39551851852,1.00002314814815,2448.69384350628,228.714576846542
4,"RTNC25","GM","205","1","2","6",10.0253,"002a","RTNC25-1.2.6","2.151",2025-12-02 09:06:00,2025-12-02 09:08:00,3808,"9:07",12022025,26,26,"","09:07:02",3582.41833333333,644,2883.98885185185,1.00002314814815,1414.55253696847,131.503592356798
5,"RTNC25","GM","205","1","2","6",9.9904,"002b","RTNC25-1.2.6","2.151",2025-12-02 09:08:00,2025-12-02 09:10:00,4723,"9:09",12022025,26,26,"","09:09:05",4437.41,791,3738.98051851852,1.00002314814815,1833.91290668475,171.084924430472
6,"RTNC25","GM","205","1","2","6",9.9806,"002c","RTNC25-1.2.6","2.151",2025-12-02 09:10:00,2025-12-02 09:12:00,4004,"9:11",12022025,26,26,"","09:11:03",3556.99666666667,925,2858.56718518519,1.00002314814815,1402.0835972726,130.928191958205
7,"RTNC25","GM","312","1","3","6",9.9928,"003a","RTNC25-1.3.6","2.151",2025-12-02 09:12:00,2025-12-02 09:14:00,4723,"9:13",12022025,26,26,"","09:13:05",4922.13833333333,1071,4223.70885185185,1.00002314814815,2071.66475971875,193.218272762176
8,"RTNC25","GM","312","1","3","6",10.0171,"003b","RTNC25-1.3.6","2.151",2025-12-02 09:14:00,2025-12-02 09:16:00,4723,"9:15",12022025,26,26,"","09:15:08",4351.49833333333,1201,3653.06885185185,1.00002314814815,1791.77454475575,166.708316350277
9,"RTNC25","GM","312","1","3","6",9.9898,"003c","RTNC25-1.3.6","2.151",2025-12-02 09:16:00,2025-12-02 09:18:00,4527,"9:17",12022025,26,26,"","09:17:08",4705,1343,4006.57051851852,1.00002314814815,1965.16171963503,183.340079150718
10,"RTNC25","GM","409","1","4","6",10.0021,"004a","RTNC25-1.4.6","2.151",2025-12-02 09:18:00,2025-12-02 09:20:00,4200,"9:19",12022025,26,26,"","09:19:04",4361.495,1469,3663.06551851852,1.00002314814815,1796.67775725794,167.415209782386
