pause,study,Location,plot,Site,Rep,depth.in,soil mass,Cup Label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES
1,RTNC25,GM,105,1,1,6,10.0141,001a,RTNC25-1.1.6,2.151,9:00,9:02,,9:01,12022025,26,26,
2,RTNC25,GM,105,1,1,6,9.9966,001b,RTNC25-1.1.6,2.151,9:02,9:04,4434,9:03,12022025,26,26,
3,RTNC25,GM,105,1,1,6,9.9783,001c,RTNC25-1.1.6,2.151,9:04,9:06,5506,9:05,12022025,26,26,
4,RTNC25,GM,205,1,2,6,10.0253,002a,RTNC25-1.2.6,2.151,9:06,9:08,3808,9:07,12022025,26,26,
5,RTNC25,GM,205,1,2,6,9.9904,002b,RTNC25-1.2.6,2.151,9:08,9:10,4723,9:09,12022025,26,26,
6,RTNC25,GM,205,1,2,6,9.9806,002c,RTNC25-1.2.6,2.151,9:10,9:12,4004,9:11,12022025,26,26,
7,RTNC25,GM,312,1,3,6,9.9928,003a,RTNC25-1.3.6,2.151,9:12,9:14,4723,9:13,12022025,26,26,
8,RTNC25,GM,312,1,3,6,10.0171,003b,RTNC25-1.3.6,2.151,9:14,9:16,4723,9:15,12022025,26,26,
9,RTNC25,GM,312,1,3,6,9.9898,003c,RTNC25-1.3.6,2.151,9:16,9:18,4527,9:17,12022025,26,26,
10,RTNC25,GM,409,1,4,6,10.0021,004a,RTNC25-1.4.6,2.151,9:18,9:20,4200,9:19,12022025,26,26,
11,RTNC25,GM,409,1,4,6,10.0433,004b,RTNC25-1.4.6,2.151,9:20,9:22,4527,9:21,12022025,26,26,
12,RTNC25,GM,409,1,4,6,10.0022,004c,RTNC25-1.4.6,2.151,9:22,9:24,6028,9:23,12022025,26,26,
13,RTNC25,GM,105,1,1,12,9.9674,005a,RTNC25-1.1.12,2.151,9:24,9:26,2503,9:25,12022025,26,26,
14,RTNC25,GM,105,1,1,12,9.9819,005b,RTNC25-1.1.12,2.151,9:26,9:28,2598,9:27,12022025,26,26,
15,RTNC25,GM,105,1,1,12,10.0015,005c,RTNC25-1.1.12,2.151,9:28,9:30,2503,9:29,12022025,26,26,
