"2025-12-02 at 8:59"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2025-12-02	8:59:00	5.99448e2	5.14968e1	9.19452e1	8.5219554e-2	1.2057969e1	7.6399631e-1	
2025-12-02	8:59:01	5.88159e2	5.14935e1	9.19432e1	8.4130611e-2	1.2043702e1	7.5436396e-1	
2025-12-02	8:59:01	5.84284e2	5.14902e1	9.20244e1	8.3754615e-2	1.2038667e1	7.5551772e-1	
2025-12-02	8:59:02	5.90359e2	5.14902e1	92	8.4344377e-2	1.2068040e1	7.5361495e-1	
2025-12-02	8:59:02	5.87379e2	5.14902e1	9.20490e1	8.4055452e-2	1.2035310e1	7.4970636e-1	
2025-12-02	8:59:03	5.87955e2	5.14935e1	9.20485e1	8.4110832e-2	1.2063004e1	7.6125359e-1	
2025-12-02	8:59:03	5.92213e2	5.15001e1	9.19489e1	8.4521951e-2	1.2085664e1	7.6539030e-1	
2025-12-02	8:59:04	5.84406e2	5.15001e1	9.19384e1	8.3764734e-2	1.2095735e1	7.5571517e-1	
2025-12-02	8:59:04	5.81725e2	5.14968e1	9.20157e1	8.3504056e-2	1.2056291e1	7.5326209e-1	
2025-12-02	8:59:05	5.89750e2	5.14968e1	9.20142e1	8.4284210e-2	1.2053773e1	7.5290770e-1	
2025-12-02	8:59:05	5.89261e2	5.14935e1	9.20497e1	8.4237394e-2	1.2069718e1	7.4604978e-1	
2025-12-02	8:59:06	5.93537e2	5.14902e1	9.20759e1	8.4651556e-2	1.2059648e1	7.5889058e-1	
2025-12-02	8:59:06	5.97344e2	5.14935e1	9.19709e1	8.5017910e-2	1.2039506e1	7.6869897e-1	
2025-12-02	8:59:07	5.88601e2	5.14935e1	9.18939e1	8.4173469e-2	1.2056291e1	7.6708574e-1	
2025-12-02	8:59:07	5.83472e2	5.14935e1	9.19145e1	8.3674945e-2	1.2047898e1	7.5739469e-1	
2025-12-02	8:59:08	5.83766e2	5.14935e1	9.20055e1	8.3703603e-2	1.2068879e1	7.4187374e-1	
2025-12-02	8:59:08	5.91098e2	5.15001e1	9.21465e1	8.4414091e-2	1.2086503e1	7.4052524e-1	
2025-12-02	8:59:09	6.01229e2	5.14935e1	9.21449e1	8.5391101e-2	1.2075593e1	7.5267362e-1	
2025-12-02	8:59:09	5.97800e2	5.14935e1	9.20384e1	8.5061759e-2	1.2084825e1	7.5555610e-1	
2025-12-02	8:59:10	5.87650e2	5.14968e1	9.19997e1	8.4080591e-2	1.2070558e1	7.6194248e-1	
2025-12-02	8:59:10	5.86319e2	5.14968e1	9.19282e1	8.3951330e-2	1.2031953e1	7.7151255e-1	
2025-12-02	8:59:11	5.86186e2	5.14935e1	9.18627e1	8.3938980e-2	1.2041184e1	7.6976442e-1	
2025-12-02	8:59:11	5.82394e2	5.14902e1	9.19190e1	8.3570508e-2	1.2063004e1	7.5771102e-1	
2025-12-02	8:59:12	5.86288e2	5.14935e1	9.19727e1	8.3948955e-2	1.2063004e1	7.6147184e-1	
2025-12-02	8:59:12	5.90987e2	5.15001e1	9.19607e1	8.4403390e-2	1.2069718e1	7.5558781e-1	
2025-12-02	8:59:13	5.89710e2	5.14935e1	9.20147e1	8.4280881e-2	1.2041184e1	7.5518631e-1	
2025-12-02	8:59:13	5.91113e2	5.14902e1	9.20102e1	8.4417285e-2	1.2067201e1	7.5895891e-1	
2025-12-02	8:59:14	5.88988e2	5.14902e1	9.19754e1	8.4211502e-2	1.2043702e1	7.5364322e-1	
2025-12-02	8:59:14	5.86658e2	5.14935e1	9.20487e1	8.3984842e-2	1.2044541e1	7.4912791e-1	
2025-12-02	8:59:15	5.93196e2	5.14968e1	9.20504e1	8.4617490e-2	1.2042024e1	7.6287183e-1	
2025-12-02	8:59:15	5.99778e2	5.14935e1	9.19337e1	8.5251836e-2	1.2049577e1	7.6626996e-1	
2025-12-02	8:59:16	5.93689e2	5.14935e1	9.19247e1	8.4665660e-2	1.2067201e1	7.5866723e-1	
2025-12-02	8:59:16	5.89778e2	5.14935e1	9.19777e1	8.4287500e-2	1.2061326e1	7.5626068e-1	
